species,lon,lat
"Trypherus frisoni Fender,1960",-97.073623,36.126403
"Trypherus frisoni Fender,1960",-95.43276,29.7073
Trypherus niponicus,134.617,34.799999
"Trypherus frisoni Fender,1960",-83.120658,40.154871
"Trypherus frisoni Fender,1960",-84.593138,39.234222
"Trypherus frisoni Fender,1960",-97.465929,35.212798
"Trypherus frisoni Fender,1960",-83.043585,42.279238
"Trypherus frisoni Fender,1960",-83.190354,42.555309
"Trypherus frisoni Fender,1960",-75.841896,41.218677
"Trypherus frisoni Fender,1960",-93.310761,44.675825
"Trypherus frisoni Fender,1960",-74.115556,41.146564
"Trypherus frisoni Fender,1960",-87.861726,41.834753
"Trypherus frisoni Fender,1960",-87.706848,41.795698
"Trypherus frisoni Fender,1960",-76.740874,42.966884
"Trypherus frisoni Fender,1960",-90.616375,40.559165
"Trypherus frisoni Fender,1960",-82.890717,40.140591
"Trypherus frisoni Fender,1960",-79.981634,39.467783
"Trypherus frisoni Fender,1960",-82.635192,41.413897
"Trypherus frisoni Fender,1960",-91.123482,42.975021
"Trypherus frisoni Fender,1960",-82.341374,42.764392
"Trypherus frisoni Fender,1960",-94.0085,41.332462
"Trypherus frisoni Fender,1960",-89.846704,40.150404
"Trypherus frisoni Fender,1960",-86.877107,40.39159
"Trypherus frisoni Fender,1960",-83.869139,41.435334
"Trypherus frisoni Fender,1960",-84.080045,39.724174
"Trypherus frisoni Fender,1960",-82.638855,41.808767
"Trypherus frisoni Fender,1960",-82.214395,42.415025
"Trypherus frisoni Fender,1960",-84.391603,39.249553
"Trypherus frisoni Fender,1960",-87.666275,41.92857
"Trypherus frisoni Fender,1960",-97.374547,32.774487
Trypherus,-83.323917,40.103253
"Trypherus frisoni Fender,1960",-83.385276,33.89941
"Trypherus niponicus Lewis,1879",134.545379,34.857952
"Trypherus latipennis Germar,1824",-82.84,34.67
Trypherus,-96.947801,42.71563
"Trypherus latipennis Germar,1824",-75.247906,40.410796
"Trypherus frisoni Fender,1960",-85.043221,41.067657
"Trypherus frisoni Fender,1960",-99.078603,40.716475
"Trypherus frisoni Fender,1960",-87.784194,42.00014
"Trypherus frisoni Fender,1960",-92.44048,42.5463
"Trypherus frisoni Fender,1960",-87.773293,42.107026
"Trypherus frisoni Fender,1960",-97.111137,32.792004
"Trypherus frisoni Fender,1960",-87.928129,41.899758
"Trypherus frisoni Fender,1960",-81.460856,40.773651
"Trypherus frisoni Fender,1960",-83.489216,42.295477
"Trypherus frisoni Fender,1960",-87.974531,41.987703
"Trypherus frisoni Fender,1960",-95.130989,36.40984
"Trypherus frisoni Fender,1960",-89.936,41.671
"Trypherus frisoni Fender,1960",-88.360249,40.18062
Trypherus,-88.280172,40.005342
Trypherus,-73.188729,44.489158
"Trypherus Leconte,1851",105.55,21.52
"Trypherus niponicus Lewis,1879",131.72346,34.256
"Trypherus mutilatus Kiesenwetter,1879",131.30016,34.0905
"Trypherus niponicus Lewis,1879",132.04529,34.42767
"Trypherus mutilatus Kiesenwetter,1879",131.05675,34.19308
"Trypherus niponicus Lewis,1879",141.077725,40.156925
"Trypherus niponicus Lewis,1879",141.090221,40.248581
Trypherus,-93.742012,41.823783
"Trypherus latipennis Germar,1824",-87.473903,33.190618
"Trypherus frisoni Fender,1960",-79.806263,39.597594
Trypherus,-81.526892,41.488791
Trypherus,-84.879303,39.828629
Trypherus,-87.840242,41.097151
Trypherus,-88.153535,41.750839
"Trypherus latipennis Germar,1824",-77.341743,38.924207
Trypherus,-77.730475,39.321705
Trypherus,-88.106368,41.927905
Trypherus,-88.026712,41.814063
Trypherus,-81.338755,41.726201
Trypherus,-81.609428,41.141404
Trypherus,-83.11914,40.053635
Trypherus,-74.40902,40.435647
Trypherus,-88.165411,42.305079
"Trypherus frisoni Fender,1960",-82.353963,34.777657
Trypherus,-86.317814,39.88375
"Trypherus latipennis Germar,1824",-77.688126,37.42428
Trypherus,-85.680254,40.10532
Trypherus,-75.884414,40.449025
"Trypherus frisoni Fender,1960",-82.061553,41.257647
Trypherus,-85.673615,40.253613
Trypherus,-81.939283,41.016275
Trypherus,-80.794167,38.933525
Trypherus,-90.40554,41.564153
Trypherus,-83.921684,39.816634
Trypherus,-84.603217,39.119995
Trypherus,-89.042646,40.548862
Trypherus,-82.567398,40.757564
"Trypherus frisoni Fender,1960",-88.29454,41.909382
"Trypherus frisoni Fender,1960",-74.122833,40.562332
Trypherus,-75.279579,40.209904
"Trypherus latipennis Germar,1824",-82.618447,35.090325
Trypherus,-72.46219,42.373955
Trypherus,-87.756075,41.700997
"Trypherus frisoni Fender,1960",-76.572531,39.337181
Trypherus,-88.100912,41.685458
Trypherus,-86.789732,33.327219
Trypherus,-84.162972,39.656032
"Trypherus latipennis Germar,1824",-83.204575,38.741061
Trypherus,-83.142772,38.474882
Trypherus,-76.787163,39.151269
Trypherus,-84.451308,39.154578
